ID, Muhanda/Rubaya ,Gitega, Butamwa , Kabuye SW ,KIGALIAERO, Busasamana-Nyanza , Rurangazi , Kigoma , Simbi , Buruhukiro , Cyanika ku ishuri ,GIKONGOROMET, Kigeme ku ishuri , Gatare , Kaduha Sector , Mushubi Paroisse , Gitwe ,Byimana, Mwendo , Kivumu , Kibangu , Nyabinoni , Nyamabuye , Rugendabari , Kayenzi ,Twumba , Rwankeri , Rugera , Gatumba ,Muramba , Kabaya ,Nyange , Sovu ,Cyinzuzi,Rutongo,Mugambazi,Rutongo.1,Rusiga,Cyabingo,Janja,Minazi,Muyongwe,Nembaparoisse,Ruli,Rushashi,Remera,BusogoISAE,RhengeriAero,Kinigi,NyangeKabeza,Shingiro,Butaro,Kagogo,Ntaruka,Kinoni,Ruhunde,Rwesero,ByumbaMet, Rwamagana , Musha , Gasange , Gahini  , Mukarange ,KAWANGIRE
20121215,3.0,7.0,17.0,0.0,8.4,0.0,0.0,11.0,4.2,8.2,10.2,10.1,12.1,1.0,12.0,5.0,5.2,1.0,0.0,2.0,0.0,0.0,0.0,15.3,0.0,0.0,11.0,10.9,14.6,4.8,7.0,1.0,5.1,0.0,3.4,15.5,8.0,8.0,0.0,0.0,9.4,0.0,2.6,2.0,0.0,2.1,10.6,3.0,0.0,0.0,0.0,0.5,2.0,3.2,0.0,0.0,0.0,21.6,0.0,11.1,0.0,20.6,0.0,26.3
20121216,4.5,0.0,0.0,25.6,0.0,0.0,0.0,5.0,8.8,9.8,3.8,4.7,15.4,0.0,0.0,0.0,0.0,0.0,4.3,0.0,22.7,36.0,0.0,0.0,0.0,22.0,11.0,4.1,2.5,4.1,0.0,9.0,0.0,0.0,7.2,0.0,0.0,0.0,0.0,29.5,10.8,0.0,0.0,1.0,0.0,0.0,12.7,2.7,0.0,0.0,3.1,4.2,0.0,4.5,0.3,6.3,0.0,2.4,0.0,0.0,12.0,2.5,0.0,1.9
20121217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.4,0.0,0.0,0.0,0.0,0.0,11.0,15.2,0.0,0.0,0.0,5.1,7.0,0.0,0.0,1.0,13.0,5.0,0.0,3.9,2.4,0.1,0.0,0.0,14.2,32.9,6.5,0.0,0.0,0.0,6.7,0.0,0.0,0.0,0.0,0.0,3.2,6.5,0.0,0.0,4.8,0.2,0.0,2.0,0.0,0.6,0.0,0.0,0.0,30.4,0.0,96.0,0.0,0.0,0.0
20121218,0.0,22.8,11.0,0.1,15.0,16.0,12.3,5.0,0.0,18.6,6.4,6.3,0.0,3.0,15.0,17.0,2.3,3.9,0.0,0.0,0.0,7.0,0.0,11.7,0.0,2.0,9.0,6.8,0.0,10.3,0.2,0.0,12.9,0.0,0.0,0.0,5.5,5.0,5.2,14.1,0.0,1.0,4.5,0.0,1.3,0.8,9.3,5.1,3.6,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,8.4,40.1,13.9,0.0,7.5,0.0,7.9
20121219,5.0,0.0,3.0,40.6,0.0,0.0,0.0,0.0,8.1,0.0,0.0,0.3,0.0,4.0,3.0,0.0,1.3,4.2,2.7,25.0,0.0,5.0,13.1,0.0,1.1,0.0,0.0,0.0,0.0,17.1,0.0,0.0,0.0,0.0,0.0,14.1,4.3,4.0,0.0,3.4,0.0,8.0,1.1,0.0,7.4,2.1,0.8,0.0,0.0,0.0,2.6,0.0,2.0,0.3,0.5,6.2,0.0,0.0,8.8,0.0,0.0,0.0,0.0,0.0
20121220,9.8,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,25.0,0.0,0.0,12.3,0.0,0.0,0.0,15.0,0.0,47.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.7,2.0,6.7,3.2,17.4,0.0,0.0,6.7,0.0,0.0,2.0,0.0,0.4,0.0,0.0,0.0,3.0,0.0,14.0,0.0,0.0,0.0
20121221,0.9,0.0,0.0,0.0,0.0,11.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,9.7,0.0,0.0,1.0,4.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,11.4,0.0,0.0,0.0,0.0,4.3,0.0,8.0,0.0,3.0,8.9,8.0,4.1,0.0,0.0,0.0,0.0,8.0,5.0,0.0,0.7,0.0,0.0,0.0,10.7,0.0,0.0,0.0,0.0,0.0
20121222,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,0.7,0.5,0.0,10.0,0.0,1.0,5.9,10.3,3.4,6.0,0.0,2.0,5.9,4.0,1.2,22.0,0.0,0.7,39.0,0.8,7.0,15.0,3.5,11.6,7.3,0.0,0.0,0.0,26.1,8.7,0.0,14.0,0.0,3.0,9.9,0.0,0.0,0.6,3.0,0.0,0.0,3.1,0.0,0.0,14.6,0.0,0.0,0.0,14.8,0.0,0.0,0.0,0.0,0.5
20121223,1.7,0.6,0.0,0.0,0.1,0.0,12.1,8.0,0.0,0.0,10.8,11.4,11.3,11.0,22.0,8.0,13.5,11.9,0.0,5.0,19.0,7.0,12.3,2.0,0.0,7.0,13.0,11.6,8.6,0.0,0.0,0.0,0.0,13.4,0.0,0.0,6.5,6.0,0.0,1.7,0.3,5.0,21.1,5.0,0.0,0.0,12.3,3.1,2.8,0.0,11.8,0.0,0.0,0.0,0.7,7.3,0.0,4.4,0.0,0.0,0.0,21.4,0.0,12.2
20121224,6.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,22.1,0.0,0.0,0.0,1.8,0.0,1.0,4.0,0.0,17.5,0.0,0.6,0.0,1.0,0.0,0.0,0.0,15.5,1.3,1.0,0.0,2.5,9.0,0.0,14.2,4.0,0.0,4.3,2.4,2.2,4.4,12.9,1.9,0.0,9.0,5.2,0.9,0.0,0.0,10.3,0.0,87.0,24.1,0.0,0.0,0.0
20121225,4.9,10.1,2.0,5.2,0.0,13.0,0.0,0.0,0.0,20.8,0.2,0.3,0.0,0.0,0.0,7.0,0.0,0.1,0.0,2.0,0.0,4.0,2.4,0.0,0.0,21.0,22.0,0.0,0.0,4.5,0.0,0.0,2.5,0.0,0.0,21.3,0.0,0.0,5.1,10.8,6.2,0.0,3.4,0.0,0.0,0.0,27.3,4.6,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,6.4,40.0,3.5,0.0,0.0
20121226,9.8,0.0,5.0,13.7,7.2,0.0,7.2,0.0,0.0,0.0,0.8,0.6,0.0,0.0,1.0,0.0,3.1,0.0,0.0,14.0,0.0,0.0,4.5,0.0,1.3,4.0,11.0,0.0,14.0,0.0,0.0,3.0,0.0,0.0,0.0,25.2,0.0,0.0,0.0,0.0,5.4,0.0,0.3,2.0,0.0,2.3,11.3,0.0,0.0,0.0,0.8,22.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0
20121227,9.3,0.6,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,15.0,15.4,22.0,0.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,13.3,0.0,1.0,2.0,16.1,0.0,11.1,8.0,0.0,11.7,0.0,14.3,4.7,19.4,19.0,0.0,3.9,0.0,2.0,2.2,0.0,2.1,1.0,5.9,23.5,32.7,0.0,0.0,0.0,1.0,0.0,0.2,0.0,0.0,9.5,0.0,0.0,0.0,14.8,0.0,0.0
20121228,8.1,2.9,1.0,0.0,0.0,9.1,0.0,54.0,0.0,0.0,43.1,41.4,0.0,47.0,15.0,0.0,4.3,47.3,4.3,0.0,0.0,0.0,4.1,0.0,0.0,13.0,0.0,46.1,0.0,4.3,5.0,30.0,22.5,25.6,7.6,0.0,1.8,1.0,0.0,0.0,4.8,11.0,3.7,10.0,0.3,3.0,0.0,10.3,17.6,0.0,29.8,0.0,2.0,0.6,0.8,6.2,0.0,7.7,0.0,0.0,0.0,0.0,0.0,0.6
20121229,10.7,0.2,7.0,37.2,20.7,0.0,0.0,31.0,30.0,4.2,18.7,19.0,26.0,2.0,9.0,8.0,16.2,2.8,18.7,0.0,0.0,0.0,0.0,28.2,0.7,9.0,0.0,20.0,13.5,4.6,16.0,2.0,6.5,10.3,0.0,0.0,0.9,0.0,0.0,6.6,8.6,4.0,0.0,4.0,0.9,10.1,0.0,15.3,9.2,0.0,3.2,22.3,6.0,0.0,0.6,10.3,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
20121230,20.2,0.4,0.0,0.0,0.4,0.0,61.5,30.0,42.9,0.0,5.4,4.9,15.5,3.0,30.0,1.0,1.8,3.3,0.0,8.0,42.0,39.0,6.7,0.0,0.0,6.0,37.0,0.0,26.0,2.7,1.5,6.0,0.0,0.0,0.0,0.0,1.7,1.0,0.0,4.3,7.3,0.0,2.9,3.0,0.4,6.3,37.4,8.0,4.1,0.0,2.8,0.0,4.0,0.0,0.0,13.4,0.0,1.8,0.0,4.3,0.0,0.0,2.6,2.3
20121231,10.3,0.0,0.0,0.0,0.3,0.0,12.6,0.0,0.0,0.0,0.3,0.6,9.5,0.0,10.0,0.0,15.4,0.1,7.4,5.0,24.0,28.0,9.8,3.3,0.3,23.0,32.0,5.8,0.0,4.7,0.3,1.0,6.1,0.0,0.0,0.0,11.0,11.0,0.0,18.6,31.6,0.0,25.3,9.0,1.2,0.0,41.3,6.7,45.1,0.0,0.0,7.6,3.0,0.8,0.0,7.7,0.0,6.1,7.3,0.0,15.6,13.4,0.0,0.0
20130101,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.8,36.3,17.5,4.0,13.0,0.0,14.1,4.2,0.0,0.0,0.0,16.0,3.4,0.0,0.0,2.0,0.0,0.0,16.0,0.0,7.0,7.1,0.0,0.0,20.0,20.5,21.9,21.0,0.0,3.4,8.0,0.0,2.1,1.4,0.0,4.5,0.3,0.0,0.0,0.0,25.7,0.0,0.1,16.6,0.7,0.0,0.0,6.2,8.2,0.0,0.0,0.0,0.0,0.0
20130102,0.7,0.0,4.0,0.0,0.0,0.0,12.3,8.0,0.0,2.4,2.4,1.8,0.0,6.0,20.0,2.0,16.4,6.9,0.0,22.1,0.0,0.0,9.6,0.0,0.0,2.0,0.0,0.0,6.6,0.0,16.0,0.0,0.0,0.0,40.0,40.3,1.8,1.0,3.0,0.0,2.0,0.0,0.0,3.1,7.8,0.0,0.0,1.2,0.0,0.0,44.7,0.0,0.0,0.0,0.0,10.3,0.0,0.0,9.0,0.0,0.0,0.0,0.0,2.2
20130103,0.0,1.0,0.0,2.3,0.0,0.0,8.1,4.5,0.0,4.4,1.2,1.4,11.2,0.0,4.0,3.0,0.7,0.2,18.4,0.0,0.0,0.0,2.0,6.7,5.0,6.0,0.0,0.0,0.0,0.0,7.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.6,0.8
20130104,0.0,3.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,3.4,0.0,0.0,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20130105,0.0,1.0,0.0,0.0,0.4,0.0,0.0,8.0,0.0,0.0,3.2,2.7,9.0,10.0,1.0,0.0,1.4,10.0,1.9,8.0,0.0,8.0,18.4,0.0,0.0,0.0,6.7,4.0,0.0,0.6,0.3,0.0,7.2,10.4,30.0,30.6,9.6,9.0,0.0,4.7,6.0,0.0,5.5,7.6,1.2,0.0,3.2,2.8,1.1,0.0,0.0,12.5,0.5,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,2.0,0.0
20130106,0.0,0.0,1.0,0.0,0.0,0.0,13.8,7.5,0.0,0.0,20.4,21.1,14.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,13.6,0.6,0.0,0.0,48.0,3.9,0.0,0.0,11.1,2.9,0.0,20.0,20.7,0.0,0.0,50.0,5.7,0.0,0.0,4.2,0.0,0.3,13.7,1.9,6.4,10.1,0.0,2.0,0.0,7.9,0.8,0.5,0.0,5.6,0.0,0.0,0.0,0.6,0.0,0.0,0.0
20130107,0.0,1.0,0.0,22.0,2.8,2.2,6.4,4.6,0.0,0.0,2.1,2.2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.2,0.0,0.0,16.4,0.0,0.6,2.0,11.6,34.0,0.0,0.2,0.0,0.0,10.0,0.0,0.0,0.0,3.4,3.0,4.0,6.6,2.0,0.0,0.0,8.7,0.1,0.0,11.9,2.8,5.5,0.0,0.0,0.0,3.3,0.0,0.4,0.0,3.1,0.0,6.8,0.0,0.0,6.9,0.0,0.0
20130108,9.8,15.0,12.0,2.5,7.6,0.0,0.0,9.0,0.0,0.0,8.9,9.6,9.2,22.0,7.0,4.0,8.8,22.5,0.0,16.0,0.0,8.0,0.0,6.2,0.5,14.0,2.6,2.0,5.3,18.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.2,3.0,0.0,2.2,0.9,0.0,0.0,3.4,12.0,0.6,0.0,0.0,0.0,0.0,7.2,0.9,0.0,9.7,0.0,0.0,0.0,0.0,0.0,9.4,0.0
20130109,3.3,0.0,0.0,18.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6,0.0,8.0,0.0,0.0,45.8,0.0,10.0,0.0,0.0,29.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.3,10.4,0.0,0.0,0.0,1.5,0.6,2.6,0.0,0.0,0.0,0.0,0.0,0.0,17.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20130110,2.9,0.0,0.0,0.3,0.0,14.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,4.0,1.2,3.0,0.0,1.1,0.0,0.0,17.7,0.0,0.0,0.0,0.0,0.0,1.0,4.5,5.0,0.0,18.1,6.5,0.0,0.0,3.0,0.0,4.4,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20130111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,16.5,0.0,0.0,0.0,6.0,0.0,0.0,0.0,5.0,0.0,0.0,2.6,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.3,6.6,0.2,0.0,0.0,0.0,0.0,0.0,0.5,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20130112,0.0,3.0,4.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.3,0.0,0.0,0.0,0.0,0.0,0.0,8.6,0.0,0.0,3.9,0.0,0.0,0.0,7.1,7.0,1.0,21.3,1.0,2.0,0.0,0.0,3.2,0.0,1.2,4.4,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,7.9,0.0,0.0
